FileName,URL,Content,Text,Note
0,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/79601808_109023050492271_6153327837870112281_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=-4sr1-aRMkMAX9HgMw7&edm=AP_V10EBAAAA&ccb=7-4&oh=654d50189e4b0cb4f3e27d34b19de195&oe=612AE3BA&_nc_sid=4f375e,"„Peace“
Blessed are the peacemakers .
.
.
.
#handstyle
#stylewriting
#handstyles
#digitalgraffiti
#handstylestagram
#graffiti
#calligraphy",PEACE,
1,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/84162096_197545164635395_9124618159382340270_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=yLHMXHnT2-UAX-gYeUT&edm=AP_V10EBAAAA&ccb=7-4&oh=0d8fe0dad846f39ea7cc300b32d5b8a5&oe=612B38A1&_nc_sid=4f375e,"„Risk“
Still looking for good words. Send me your ideas or write it in the comments 👇
Thx for the inspiration @tim.hw_
#handstyles
#digitalgraffiti
#stylewriting
#procreategraffiti",RISK,
2,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/170061640_987719585331158_3186526949757613386_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=9u9pNuO0OhAAX_0vrI1&edm=AP_V10EBAAAA&ccb=7-4&oh=fb52f3342d524d063d72afdc2ea13521&oe=612AA07E&_nc_sid=4f375e,"Writing my name
Thx for the dayphoto @ velved
#handstylers
#colognegraffiti
#graffitiköln
#stylewriting
#handstyle",,
3,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/57488282_617546548708203_1735185140646012323_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=sKlFRRV9JokAX-NIi73&tn=Y8oC8EvgCif-cvKC&edm=AP_V10EBAAAA&ccb=7-4&oh=dc9ebcc0ae67ba62e985e25d41cf0795&oe=612B6FC0&_nc_sid=4f375e,"Last post with city names
Swipe to see more
Any ideas for the next Category?
#procreategraffiti
#digitalgraffiti
#procreatehandstyles
#digitalhandstyle
#handstyles
#stylewriting
#instagraffiti
#instagraff
#instagraffiti
#handstyle
#handlettering
#calligraphy
#handstyler
#graffiti
#graffitiart
#urbanart
#tagging
#tags
#spraypaint
#sprayart
#ipadprograffiti
#digital
#writingmyname
#citiesoftheworld
#pentelmarker",WERMWlLSKiRCHEN,
4,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/71543737_213785606274515_3138408064318711482_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Sk9yPnKCd1MAX_EPoji&edm=AP_V10EBAAAA&ccb=7-4&oh=91f028da5547ed0d270dfab18bab2de0&oe=612B7B98&_nc_sid=4f375e,"Number „5“
Hard to distinguish between a 5 and a S. Is it still a 5 or already a S? .
.
.

#molotowmarkers
#krinkmarkers
#alphabetchallenge
#graffonetics
#pentelmarker
#number5",5,
5,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/82805118_581409269372963_3027287770624186136_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=afU6ztoqLJoAX-TIrO5&tn=Y8oC8EvgCif-cvKC&edm=AP_V10EBAAAA&ccb=7-4&oh=a1d9892d64487240ce4e6b9a8916cd5d&oe=6129EF90&_nc_sid=4f375e,"„Super“
Which one’s your favorite?
#stylewriting
#handstyles
#digitalgraffiti
#procreategraffiti
#handstylestagram",SUPER,
6,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/67507352_144358340099457_8604448222380227695_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Uy1vGWjr9lAAX834y5H&edm=AP_V10EBAAAA&ccb=7-4&oh=6992015ddb9dc784a31bd206b16ad0d9&oe=612B411B&_nc_sid=4f375e,"„Letter S“
Swipe to see some versions of this letter. .
.
.
.
.
#handstyles
#stylewriting
#instagraffiti
#instagraff
#instagraffiti
#handstyle
#handlettering
#calligraphy
#handstyler
#graffiti
#graffitiart
#urbanart
#tagging
#tags
#spraypaint
#sprayart
#writingmyname
#Hiphop
#marker
#chisel
#eddingmarker
#molotowmarkers
#krinkmarkers
#alphabetchallenge
#graffonetics
#pentelmarker
#letterS",S,
7,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/138847572_842643716519532_1217561276417318328_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=LfZMdYu0KxMAX8IvwJM&edm=AP_V10EBAAAA&ccb=7-4&oh=3726bb0531c25c3ba81ee333823b5b84&oe=612B7537&_nc_sid=4f375e,"„It starts with a marker and ends with a wholecar“
#handstyles
#graffitiquotes
#stylewriting",,
8,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/81498128_2570760049848423_8069203528479223800_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=gxXEwf2NDsQAX_Dy7gV&edm=AP_V10EBAAAA&ccb=7-4&oh=a7ed022f4bffff49199ab73d10cb6544&oe=612B9470&_nc_sid=4f375e,"„Faith“
Which word should I write next?
#handstyler
#digitalgraffiti
#stylewriting
#handstyles
#lettering
#faith",fAitH,
9,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/52508226_259619164951905_2877276697498258124_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=mgltzEIZvcsAX9xptep&edm=AP_V10EBAAAA&ccb=7-4&oh=20486bf5164840f2ccffb02aa05e6199&oe=612B61AB&_nc_sid=4f375e,"Greetings from „Budapest“ - which city should I write next time?
->Swipe to see more
#procreategraffiti
#digitalgraffiti
#procreatehandstyles
#digitalhandstyle
#handstyles
#stylewriting
#instagraffiti
#instagraff
#instagraffiti
#handstyle
#handlettering
#calligraphy
#handstyler
#graffiti
#graffitiart
#urbanart
#tagging
#tags
#spraypaint
#sprayart
#ipadprograffiti
#digital
#writingmyname
#budapest
#holiday",BUDAPEST,
10,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/131902685_382874646339615_8080634233123831875_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=5HpUa0ZbnFUAX9HTkOY&edm=AP_V10EBAAAA&ccb=7-4&oh=71aa68251bcda7c6d55b0bc4bd28c3fd&oe=612B4D34&_nc_sid=4f375e,"„Insane“ 🤯🥳
Any suggetions for the next word?",iNSANE,
11,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/211330435_1383937518672954_7984981941736801037_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=x_FMX45gfCoAX9TuajD&edm=AP_V10EBAAAA&ccb=7-4&oh=67de843481c93303392318d6be5df94b&oe=612A7FA7&_nc_sid=4f375e,"„Brainwash“ 🧠 💦
Swipe for more 👉
#handstyles",BraiNWash,
12,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/57129734_353400395272211_604381173007331210_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=kGyBaqzMrOUAX9UEIrH&edm=AP_V10EBAAAA&ccb=7-4&oh=2e1e1476ba4617377c55b677e1229f5a&oe=612B8304&_nc_sid=4f375e,"Trying something new - 10 cities on black background-> swipe
Next time again cities or something else? Any topic? Black or white background?
#brussels
#lime
#sanjose
#bucharest
#birmingham
#boston
#adana
#seattle
#nicaragua
#baghdad
#procreategraffiti
#digitalgraffiti
#procreatehandstyles
#digitalhandstyle
#handstyles
#stylewriting
#instagraffiti
#instagraff
#instagraffiti
#handstyle
#handlettering
#calligraphy
#handstyler
#graffiti
#graffitiart
#urbanart
#tagging
#tags
#spraypaint
#ipadprograffiti",LiMA,
13,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/144182882_912597756147652_5367948225624037289_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Ld2sVuJyCoYAX-7atgy&edm=AP_V10EBAAAA&ccb=7-4&oh=36ca7915579ac0df90dd53c48fd65a13&oe=6129D83E&_nc_sid=4f375e,"„Magic“ 🪄
any favorites?

#handstyles
#graffitihandstyle
#stylewriting",,
14,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/83353567_302315457395697_6824956857030902834_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=9P0SCtSD2ZQAX-3uG2k&edm=AP_V10EBAAAA&ccb=7-4&oh=4267b1283f0d378342c2458d7083f57a&oe=612A24C1&_nc_sid=4f375e,"„Ultra“
Any suggestions for words I could write?
#handstyles
#handstylestagram
#graffitiart
#handlettering
#digitalhandlettering
#stylewriting",UltRA,
15,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/139380106_4814254751982732_2185250960205006627_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=TWMmu_SipYYAX8IthMD&edm=AP_V10EBAAAA&ccb=7-4&oh=e11075a354bf11ec460ec45bd7e8ee9d&oe=612AF6BE&_nc_sid=4f375e,"„Graffiti“ 🖤🖤🖤
When did you start to do graffiti?
#graffiti
#handstyles
#stylewriting",GRAFFiTi,
16,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/69800569_230592441249695_1267780728615634814_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=JsigdrTWIZgAX9KZQuI&edm=AP_V10EBAAAA&ccb=7-4&oh=3a4e855bf868feebeab9355da9cb6fef&oe=612A5123&_nc_sid=4f375e,"Number „5“
Hard to distinguish between a 5 and a S. Is it still a 5 or already a S? .
.
.

#molotowmarkers
#krinkmarkers
#alphabetchallenge
#graffonetics
#pentelmarker
#number5",5,
17,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/87590386_133605074845704_6131643257648782920_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=5EaeOdcqgJoAX_uuUqZ&edm=AP_V10EBAAAA&ccb=7-4&oh=8e1e1f23d8b6c9b7259e82770f1c946a&oe=612B4FE3&_nc_sid=4f375e,"„Iconic“
#digitalgraffiti
#stylewriting
#handstyles
#handstyle
#procreategraffiti",iCONIC,
18,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/58454081_691400231275076_7277653958823820847_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=gdyf3CkMBhgAX_o5ywn&tn=Y8oC8EvgCif-cvKC&edm=AP_V10EBAAAA&ccb=7-4&oh=f40e4e317b6e50fcfdf7d612b91454ba&oe=6129DFC9&_nc_sid=4f375e,"„Street“
Swipe to see more -> 🖊

#procreategraffiti
#digitalgraffiti
#procreatehandstyles
#digitalhandstyle
#handstyles
#stylewriting
#instagraffiti
#instagraff
#instagraffiti
#handstyle
#handlettering
#calligraphy
#handstyler
#graffiti
#graffitiart
#urbanart
#tagging
#tags
#spraypaint
#sprayart
#ipadprograffiti
#digital
#writingmyname
#Hiphop
#marker
#chisel
#eddingmarker
#krinkmarkers",STreet,
19,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/167903024_1338261369886021_5583373580793275688_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=smMmV13rtPkAX_sXvAb&tn=Y8oC8EvgCif-cvKC&edm=AP_V10EBAAAA&ccb=7-4&oh=324e840d44f2cfb2335bdfa002dd5928&oe=612B75FC&_nc_sid=4f375e,"„Messiah“
👑
Everything you need to know:

„For this is how God loved the world: He gave his one and only Son, so that everyone who believes in him will not perish but have eternal life.“
‭‭John‬ ‭3:16‬ ‭

#handstyles
#stylewriting
#graffitistyle
#letteringart",MESSiAH,
20,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/51379330_855418098134123_2592184410170997538_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=aIoLbGSiCPsAX_Y8n0n&tn=Y8oC8EvgCif-cvKC&edm=AP_V10EBAAAA&ccb=7-4&oh=04478d797c0fc1d9572b1292e2451d90&oe=6129C296&_nc_sid=4f375e,"„Scrate/Scratch“
Exchange with the talented @i_write_scratch - check out his profile 👌
Swipe to see more stuff
#procreategraffiti
#digitalgraffiti
#procreatehandstyles
#digitalhandstyle
#handstyles
#stylewriting
#instagraffiti
#instagraff
#instagraffiti
#handstyle
#handlettering
#calligraphy
#handstyler
#graffiti
#graffitiart
#urbanart
#tagging
#tags
#spraypaint
#sprayart
#ipadprograffiti
#digital
#writingmyname
#exchange",SCRAtCH,
21,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/66330799_102749564334801_8730112674337989569_n.jpg?_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=TprFE5ZPN-YAX8Zj9sb&edm=AP_V10EBAAAA&ccb=7-4&oh=e699c726054b50583b104f72cee3ddb0&oe=612B1ADB&_nc_sid=4f375e,"„Letter R“ - my favorite letter 🖤
Which is your favorite? .
.
.
.
.
.
#handstyles
#stylewriting
#instagraffiti
#instagraff
#instagraffiti
#handstyle
#handlettering
#calligraphy
#handstyler
#graffiti
#graffitiart
#urbanart
#tagging
#tags
#spraypaint
#sprayart
#writingmyname
#marker
#chisel
#eddingmarker
#molotowmarkers
#krinkmarkers
#alphabetchallenge
#graffonetics
#pentelmarker
#letterR",R,
